sample_ID,sample_num,Mean_R1,Mean_R2,Mean_R3,quant_reading,Sample_or_Control
S41_S,S41,8.62,7.365,7.385,7.79,True Sample
S42_B,S42,11,10.6,17.65,13.08,True Sample
S42_S,S42,9.535,6.96,10.195,8.9,True Sample
S43_B,S43,13.75,10.4,18.6,14.25,True Sample
S43_S,S43,7.825,13.65,12.6,11.36,True Sample
S44_B,S44,11.2,15.2,18.15,14.85,True Sample
S44_S,S44,4.695,10.085,8.93,7.9,True Sample
S45_B,S45,12.35,14.9,7.07,11.44,True Sample
S45_S,S45,9.095,11.15,11.4,10.55,True Sample
S46_B,S46,12.4,12.15,15.25,13.27,True Sample
S46_S,S46,4.925,9.465,14,9.46,True Sample
S47_B,S47,14,9.51,15.3,12.94,True Sample
S47_S,S47,6.3,6.5,8.51,7.1,True Sample
S48_B,S48,7.255,11.5,17.25,12,True Sample
S48_S,S48,6.615,9.225,7.66,7.83,True Sample
S49_B,S49,6.99,12.15,14.35,11.16,True Sample
S49_S,S49,8.105,9.995,14,10.7,True Sample
S5_B,S5,15.2,15.55,18.5,16.42,True Sample
S5_S,S5,6.61,11,11.35,9.65,True Sample
S50_B,S50,8.635,10.55,13.45,10.88,True Sample
S50_S,S50,8.145,10.55,12.45,10.38,True Sample
S51_B,S51,14.35,15.55,15.25,15.05,True Sample
S52_B,S52,11,16.5,16.05,14.52,True Sample
S53_B,S53,11.75,13.3,14.25,13.1,True Sample
S54_B,S54,13.4,16.85,19.6,16.62,True Sample
S55_B,S55,11.85,14.5,18.5,14.95,True Sample
S6_B,S6,11,19.3,17.75,16.02,True Sample
S6_S,S6,10.55,7.62,7.9,8.69,True Sample
S7_B,S7,11.05,10.9,15.7,12.55,True Sample
S7_S,S7,7.47,10.9,10.1,9.49,True Sample
S8_B,S8,5.705,13.6,15.8,11.7,True Sample
S8_S,S8,8.535,9.295,11.55,9.79,True Sample
S9_B,S9,18.65,13.75,15.2,15.87,True Sample
S9_S,S9,7.115,12.9,11.35,10.46,True Sample
MPC_01_B,MPC_01,NA,NA,NA,0.05,Control Sample
MPC_02_B,MPC_02,NA,NA,NA,0.05,Control Sample
MPC_03_B,MPC_03,NA,NA,NA,0.05,Control Sample
MPC_04_B,MPC_04,NA,NA,NA,0.05,Control Sample
MPC_05_B,MPC_05,NA,NA,NA,0.05,Control Sample
MPC_06_B,MPC_06,NA,NA,NA,0.05,Control Sample
MPC_07_B,MPC_07,NA,NA,NA,0.05,Control Sample
MPC_08_B,MPC_08,NA,NA,NA,0.05,Control Sample
MPC_09_B,MPC_09,NA,NA,NA,0.05,Control Sample
MPC_10_B,MPC_10,NA,NA,NA,0.05,Control Sample
MPC_11_B,MPC_11,NA,NA,NA,0.05,Control Sample
MPC_12_B,MPC_12,NA,NA,NA,0.05,Control Sample
MPC_13_B,MPC_13,NA,NA,NA,0.05,Control Sample
MPC_14_B,MPC_14,NA,NA,NA,0.05,Control Sample
MPC_15_B,MPC_15,NA,NA,NA,0.05,Control Sample
MPC_16_B,MPC_16,NA,NA,NA,0.05,Control Sample
MPC_17_B,MPC_17,NA,NA,NA,0.05,Control Sample
MPC_18_B,MPC_18,NA,NA,NA,0.05,Control Sample
MPC_19_B,MPC_19,NA,NA,NA,0.05,Control Sample
MPC_20_B,MPC_20,NA,NA,NA,0.05,Control Sample
MPC_21_B,MPC_21,NA,NA,NA,0.05,Control Sample
MPC_22_B,MPC_22,NA,NA,NA,0.05,Control Sample
MPC_23_B,MPC_23,NA,NA,NA,0.05,Control Sample
MPC_24_B,MPC_24,NA,NA,NA,0.05,Control Sample
MPC_25_B,MPC_25,NA,NA,NA,0.05,Control Sample
MPC_01_S,MPC_01,NA,NA,NA,0.05,Control Sample
MPC_02_S,MPC_02,NA,NA,NA,0.05,Control Sample
MPC_03_S,MPC_03,NA,NA,NA,0.05,Control Sample
MPC_04_S,MPC_04,NA,NA,NA,0.05,Control Sample
MPC_05_S,MPC_05,NA,NA,NA,0.05,Control Sample
MPC_06_S,MPC_06,NA,NA,NA,0.05,Control Sample
MPC_07_S,MPC_07,NA,NA,NA,0.05,Control Sample
MPC_08_S,MPC_08,NA,NA,NA,0.05,Control Sample
MPC_09_S,MPC_09,NA,NA,NA,0.05,Control Sample
MPC_10_S,MPC_10,NA,NA,NA,0.05,Control Sample
MPC_11_S,MPC_11,NA,NA,NA,0.05,Control Sample
MPC_12_S,MPC_12,NA,NA,NA,0.05,Control Sample
MPC_13_S,MPC_13,NA,NA,NA,0.05,Control Sample
MPC_14_S,MPC_14,NA,NA,NA,0.05,Control Sample
MPC_15_S,MPC_15,NA,NA,NA,0.05,Control Sample
MPC_16_S,MPC_16,NA,NA,NA,0.05,Control Sample
MPC_17_S,MPC_17,NA,NA,NA,0.05,Control Sample
MPC_18_S,MPC_18,NA,NA,NA,0.05,Control Sample
MPC_19_S,MPC_19,NA,NA,NA,0.05,Control Sample
MPC_20_S,MPC_20,NA,NA,NA,0.05,Control Sample
MPC_21_S,MPC_21,NA,NA,NA,0.05,Control Sample
MPC_22_S,MPC_22,NA,NA,NA,0.05,Control Sample
MPC_23_S,MPC_23,NA,NA,NA,0.05,Control Sample
MPC_24_S,MPC_24,NA,NA,NA,0.05,Control Sample
MPC_25_S,MPC_25,NA,NA,NA,0.05,Control Sample
